iter	Passed	Remaining
0	128	128664
1	149	74605
2	168	55910
3	189	47073
4	219	43747
5	309	51259
6	334	47437
7	358	44400
8	379	41833
9	401	39710
10	416	37451
11	430	35431
12	449	34103
13	517	36462
14	578	37980
15	602	37030
16	623	36053
17	643	35092
18	662	34213
19	684	33544
20	709	33065
21	801	35646
22	825	35082
23	845	34402
24	884	34508
25	907	33986
26	920	33157
27	930	32307
28	976	32688
29	1052	34018
30	1065	33302
31	1077	32593
32	1089	31922
33	1102	31314
34	1119	30866
35	1131	30288
36	1147	29855
37	1158	29340
38	1173	28909
39	1289	30958
40	1309	30633
41	1324	30206
42	1341	29862
43	1357	29500
44	1376	29204
45	1392	28886
46	1408	28557
47	1425	28281
48	1555	30185
49	1581	30052
50	1599	29767
51	1612	29393
52	1627	29078
53	1643	28799
54	1761	30268
55	1786	30114
56	1809	29929
57	1831	29746
58	1846	29457
59	1866	29238
60	1981	30501
61	2008	30383
62	2029	30185
63	2046	29926
64	2061	29658
65	2084	29498
66	2100	29256
67	2115	28991
68	2224	30018
69	2247	29859
70	2265	29639
71	2284	29446
72	2306	29285
73	2326	29114
74	2345	28926
75	2478	30128
76	2502	29998
77	2525	29850
78	2542	29640
79	2559	29439
80	2577	29244
81	2596	29073
82	2710	29948
83	2730	29770
84	2752	29634
85	2770	29444
86	2790	29287
87	2809	29114
88	2828	28953
89	2965	29988
90	2992	29888
91	3013	29744
92	3036	29609
93	3056	29462
94	3074	29289
95	3094	29138
96	3204	29829
97	3226	29697
98	3248	29564
99	3269	29424
100	3287	29265
101	3306	29108
102	3324	28951
103	3441	29652
104	3473	29610
105	3497	29496
106	3517	29359
107	3537	29214
108	3555	29060
109	3575	28928
110	3679	29472
111	3704	29367
112	3724	29232
113	3747	29126
114	3767	28992
115	3786	28857
116	3799	28677
117	3822	28574
118	3930	29097
119	3947	28946
120	3966	28811
121	3987	28699
122	4007	28576
123	4024	28433
124	4042	28295
125	4106	28484
126	4162	28616
127	4180	28482
128	4201	28365
129	4221	28251
130	4242	28140
131	4303	28301
132	4375	28523
133	4395	28408
134	4415	28291
135	4435	28177
136	4456	28074
137	4475	27956
138	4493	27835
139	4568	28064
140	4613	28108
141	4632	27991
142	4649	27866
143	4673	27779
144	4691	27665
145	4709	27546
146	4727	27433
147	4842	27875
148	4868	27807
149	4887	27697
150	4905	27581
151	4925	27478
152	4944	27370
153	4963	27266
154	5009	27310
155	5085	27515
156	5107	27422
157	5128	27331
158	5147	27225
159	5166	27125
160	5184	27019
161	5203	26915
162	5334	27392
163	5356	27303
164	5379	27225
165	5401	27139
166	5420	27036
167	5437	26927
168	5457	26833
169	5475	26733
170	5594	27120
171	5613	27025
172	5631	26922
173	5651	26827
174	5670	26734
175	5692	26650
176	5711	26559
177	5831	26928
178	5853	26849
179	5877	26776
180	5898	26691
181	5919	26604
182	5941	26525
183	6022	26708
184	6062	26709
185	6076	26594
186	6090	26478
187	6107	26380
188	6121	26268
189	6230	26561
190	6255	26497
191	6275	26408
192	6295	26321
193	6314	26234
194	6335	26153
195	6442	26428
196	6468	26364
197	6489	26285
198	6510	26206
199	6530	26122
200	6552	26048
201	6570	25956
202	6685	26247
203	6707	26171
204	6728	26092
205	6749	26013
206	6766	25923
207	6786	25839
208	6806	25758
209	6907	25984
210	6933	25927
211	6954	25849
212	6974	25769
213	6989	25673
214	7008	25587
215	7023	25493
216	7044	25417
217	7141	25618
218	7166	25558
219	7182	25466
220	7195	25363
221	7210	25269
222	7229	25188
223	7248	25111
224	7360	25354
225	7380	25278
226	7405	25217
227	7426	25145
228	7444	25063
229	7462	24984
230	7482	24908
231	7533	24938
232	7631	25121
233	7655	25061
234	7674	24981
235	7694	24908
236	7714	24834
237	7735	24765
238	7754	24690
239	7785	24654
240	7873	24796
241	7897	24737
242	7917	24665
243	7938	24597
244	7958	24525
245	7977	24451
246	8012	24427
247	8117	24614
248	8139	24549
249	8159	24479
250	8180	24412
251	8199	24339
252	8220	24271
253	8344	24507
254	8367	24447
255	8387	24376
256	8401	24288
257	8413	24197
258	8430	24118
259	8452	24056
260	8471	23987
261	8487	23906
262	8508	23844
263	8607	23996
264	8630	23938
265	8651	23874
266	8672	23808
267	8693	23744
268	8711	23673
269	8731	23606
270	8788	23641
271	8856	23703
272	8878	23644
273	8902	23588
274	8920	23518
275	8940	23453
276	8960	23386
277	8977	23315
278	9086	23481
279	9106	23417
280	9125	23350
281	9144	23282
282	9179	23256
283	9270	23371
284	9290	23306
285	9309	23241
286	9329	23178
287	9349	23114
288	9368	23049
289	9387	22983
290	9485	23109
291	9518	23078
292	9538	23017
293	9561	22960
294	9583	22902
295	9599	22831
296	9619	22768
297	9637	22702
298	9657	22642
299	9784	22830
300	9804	22768
301	9825	22708
302	9847	22652
303	9865	22586
304	9884	22523
305	10005	22692
306	10033	22648
307	10052	22584
